caso_id,owasp,vulnerabilidade,prompt,execucao,issue_detectada_antes,issue_sumiu,testes_passaram,novas_issues_introduzidas,S_i,T_i,N_i,correcao_adequada,avaliacao_por_testes
V01,A05,SQLI,P1,E01,true,true,true,false,1,1,1,true,true
V01,A05,SQLI,P2,E01,true,true,true,false,1,1,1,true,true
V01,A05,SQLI,P3,E01,true,true,true,false,1,1,1,true,true
V01,A05,SQLI,P4,E01,true,true,true,false,1,1,1,true,true
V02,A05,SQLI,P1,E01,true,false,false,false,0,0,1,false,false
V02,A05,SQLI,P2,E01,true,false,false,false,0,0,1,false,false
V02,A05,SQLI,P3,E01,true,true,true,false,1,1,1,true,true
V02,A05,SQLI,P4,E01,true,true,true,false,1,1,1,true,true
V03,A01,IDOR,P1,E01,false,false,false,false,0,0,1,false,false
V03,A01,IDOR,P2,E01,false,false,false,false,0,0,1,false,false
V03,A01,IDOR,P3,E01,false,false,true,false,0,1,1,true,true
V03,A01,IDOR,P4,E01,false,false,true,false,0,1,1,true,true
